"","date","country","reported_cases","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"55",2020-04-25,"E10000011 - East Sussex",9,482.011563514063,313.743338635623,702.318977037927,411.435514630736,541.89663657437,7,6.04277454734551,5.26910918169248,6.90447449687308,5.7451186140437,6.31271977377618,0.923740103556016,0.833851734406142,1.01447184664316,0.891528556899681,0.955330089067084
"56",2020-04-26,"E10000011 - East Sussex",16,584.456412051103,380.1260038042,853.882796613043,498.307106656895,657.792499712945,7,5.98091753790774,5.19990537074463,6.81871225160449,5.69134464080302,6.24981438781208,1.09515039188142,0.994605075808303,1.20104068753131,1.05977268091601,1.13196163711696
"57",2020-04-27,"E10000011 - East Sussex",2,680.818033429751,445.208886007574,1003.95782063934,577.629160889806,772.171331003742,8,5.91896449267992,5.12976294752268,6.77781872075247,5.63018783883918,6.19296061671379,1.25974658401179,1.15120747287389,1.38648685807178,1.21806284130894,1.29944803041604
"58",2020-04-28,"E10000011 - East Sussex",20,376.040200468277,234.987626420312,568.320379171569,314.927593658735,426.164727899616,8,5.85605417176168,5.06397489729185,6.72945535885041,5.5726756745005,6.13086786428842,0.684780502017547,0.607238157021308,0.763439111083241,0.656122439073676,0.711466330373629
"59",2020-04-29,"E10000011 - East Sussex",13,472.876215537327,295.517759606462,714.127495795878,396.003315845429,539.263558015919,8,5.79833813008556,4.9997847310431,6.67733393602282,5.5129798444861,6.08220715234374,0.851003483777475,0.767085364352681,0.933140594023978,0.821223372810876,0.881669837242212
"60",2020-04-30,"E10000011 - East Sussex",11,516.021323846137,321.552601063467,781.70271770073,431.323178198162,590.157448904266,7,5.7417499372099,4.94149494528525,6.63907379612849,5.45254814134848,6.02169179462738,0.933703781844899,0.847457925104845,1.0204056203163,0.902718271297326,0.965980644606925
"61",2020-05-01,"E10000011 - East Sussex",5,481.391252606066,294.599944536144,741.012730331138,401.031855646778,550.494013069191,5,5.69101535156722,4.87606177801793,6.62945453087862,5.38750644088035,5.97076791101469,0.882294766670308,0.794872100007018,0.966997386264586,0.85224001585777,0.912603945383905
"62",2020-05-02,"E10000011 - East Sussex",6,549.328663769507,332.923633779855,841.621556665326,457.473262392826,629.504975210003,5,5.64436571645591,4.80561188479076,6.63139264353065,5.32487498638318,5.93864286371094,1.02145937790168,0.929342290160849,1.11529611297935,0.988455123096475,1.05452271190642
"63",2020-05-03,"E10000011 - East Sussex",11,443.102898381938,264.442048750288,692.964244591114,365.285360405322,508.917191379663,5,5.60691756991196,4.73951654887916,6.62565486248285,5.27586985921421,5.91725724063499,0.83366361348919,0.740182727447812,0.927662766901704,0.801389031995661,0.864901200972847
"64",2020-05-04,"E10000011 - East Sussex",8,651.414061130604,390.966028683399,1012.90515872088,536.028201252075,749.708304776559,5,5.57441064085483,4.67520987578233,6.63822802876109,5.22570891070952,5.90209278187919,1.23899970672394,1.13498930157716,1.3546370997177,1.20037462206924,1.27663534238657
