"","date","country","reported_cases","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"2",2020-03-05,"E10000008 - Devon",1,56.4117241103834,29.7214873880966,95.825972502003,44.6954727100973,65.4202864685839,0,1.73525032919246e-06,9.65350852448518e-07,2.88741207172876e-06,1.39947582890897e-06,1.99911420874046e-06,3.44715987941923,2.93560473025019,4.04340069511394,3.28844205106286,3.61127645802396
"3",2020-03-06,"E10000008 - Devon",4,56.4117241103834,29.7214873880966,95.825972502003,44.6954727100973,65.4202864685839,0,1.79309200683221e-05,9.97529214196802e-06,2.98365914078639e-05,1.44612502320594e-05,2.06575134903181e-05,3.65088491511034,3.09802030274711,4.29971536811106,3.4797944032117,3.82790883662844
"4",2020-03-07,"E10000008 - Devon",0,56.4117241103834,29.7214873880966,95.825972502003,44.6954727100973,65.4202864685839,0,0.000116261772055895,6.46785071140507e-05,0.000193456608805827,9.37648805369011e-05,0.000133940651985611,3.53812641880074,3.00889353781114,4.15744965720781,3.37415389409223,3.70833146504077
"5",2020-03-08,"E10000008 - Devon",1,56.4117241103834,29.7214873880966,95.825972502003,44.6954727100973,65.4202864685839,0,0.000468517588881965,0.0002606447301611,0.000779601259366765,0.000377858473805422,0.000539760836359924,3.4883652215067,2.96580150642122,4.09741951893241,3.32500206394647,3.65570807413937
"6",2020-03-09,"E10000008 - Devon",0,56.4117241103834,29.7214873880966,95.825972502003,44.6954727100973,65.4202864685839,0,0.00134192692124217,0.000746537992560187,0.00223293200213691,0.00108226130768961,0.00154598165475929,3.58293279424128,3.04681312409167,4.21284185626895,3.41549208641832,3.755710269303
"7",2020-03-10,"E10000008 - Devon",1,105.98942159568,63.4506464851764,165.07970539354,87.8161545781724,120.677108161259,0,0.00314658726360234,0.00175050287910665,0.00523584055673482,0.00253771616975494,0.00362506043184937,3.59319556082716,3.05618528886206,4.22958153223186,3.42531853845545,3.76701774139484
"8",2020-03-11,"E10000008 - Devon",1,125.614060059577,75.7270697375533,194.879320863186,104.325379034334,142.83072490453,0,0.00623570104754731,0.00346941214532904,0.0103755338290054,0.00502927479623465,0.00718382350587613,3.51598125641403,2.99895647768462,4.13416091164774,3.35478170609893,3.68464412900474
"9",2020-03-12,"E10000008 - Devon",2,157.995519770627,97.4621261355691,240.881422388342,132.404559750719,178.967289015943,0,0.0110184278260094,0.00613377435644785,0.0183277405390473,0.00888642943007501,0.0126924686840856,3.60337502346082,3.07736656912716,4.23869127042969,3.4334106102842,3.77842809525411
"10",2020-03-13,"E10000008 - Devon",6,199.844780877789,126.240758224495,296.85301165184,168.616236117449,225.719126663377,0,0.0180669383436856,0.0100776819268575,0.0299883667675639,0.0145834163841657,0.0208034886975586,3.67165290256532,3.12692610931622,4.32907122378973,3.49676853587532,3.8530055572881
"11",2020-03-14,"E10000008 - Devon",2,235.997765620935,152.813722468562,343.382845944244,201.293072377162,265.049456813151,0,0.0276389617734182,0.0154784300300179,0.0456888981833769,0.0223223148841805,0.0318011639260376,3.46780249938474,2.96636942210721,4.05150111143527,3.30240380775279,3.63284889051481
"12",2020-03-15,"E10000008 - Devon",3,279.24485979251,184.78401612327,399.703922542968,239.835591119064,313.219425589106,0,0.0403428546742296,0.0227368859661519,0.0664114332615052,0.0326875109476321,0.0463516892215685,3.27724519428804,2.81425891527272,3.8231419661453,3.12267619513611,3.43066594917226
"13",2020-03-16,"E10000008 - Devon",4,437.757764992111,292.223585998813,618.167596993506,377.844606533506,489.960724854176,0,0.056952266573553,0.0322930839414781,0.0930083781625991,0.0463053688088798,0.065369227704474,4.13411105281611,3.5069742010479,4.90363480899984,3.91498489836893,4.34822305204269
"14",2020-03-17,"E10000008 - Devon",2,467.402969374342,318.583460804594,652.275245102574,407.3209525271,520.687423238298,0,0.0778615871153463,0.0444773669785283,0.126204075382388,0.0636128733146397,0.0893075375302521,3.5345084968736,3.02608738046908,4.15747486273079,3.3458553509496,3.70742275979717
"15",2020-03-18,"E10000008 - Devon",3,511.409893652974,353.349270860966,700.886187030218,447.384717418669,566.469114166331,0,0.10431124479256,0.0603568462275406,0.167771912439628,0.0856403009803426,0.119571050463578,3.0578786711809,2.63939422705996,3.57098502576326,2.90423097454042,3.20871212769437
"16",2020-03-19,"E10000008 - Devon",0,649.3656152726,451.264583417884,881.94269800674,570.66107064194,721.287020534851,0,0.137503387676783,0.0810456767424083,0.219089351246574,0.113303670380553,0.157396475510715,3.11081625532009,2.67818533789853,3.63666107132436,2.95210706406161,3.26704424679041
"17",2020-03-20,"E10000008 - Devon",3,754.388208393526,532.198181568907,1019.77918105557,664.876482584661,837.073668200033,0,0.178628564567894,0.107184089667949,0.281610796164896,0.147951286674474,0.20379865953638,2.9469452085005,2.54523000214183,3.43601167961176,2.79826193954852,3.09111311725294
"18",2020-03-21,"E10000008 - Devon",1,680.855371494366,491.730630336209,903.368178400259,604.959483880502,748.098910978514,0,0.229920755455724,0.140615383913423,0.358076406774307,0.191861670505966,0.261202589005753,2.19022767267279,1.90932205679633,2.49761760420021,2.09441498489582,2.28552589831141
"19",2020-03-22,"E10000008 - Devon",4,903.999659094642,652.940338631171,1209.44422066702,799.944519973907,994.215378832224,0,0.293752533418123,0.183430990391665,0.451219547169861,0.247720412036622,0.332551685985965,2.43620578685072,2.12885498400301,2.78447830094543,2.32813548347909,2.53876967118126
"20",2020-03-23,"E10000008 - Devon",5,978.504986469838,711.480373409163,1303.04043127442,869.563080741359,1074.78862054206,1,0.372263463602923,0.23758152308819,0.5623717481384,0.31543360505575,0.420505943859589,2.26372588515086,1.97307376926688,2.58494048534705,2.1645873726626,2.36411179014925
"21",2020-03-24,"E10000008 - Devon",6,637.358524019265,478.620674906023,831.840187837291,574.136798951606,692.979460383344,0,0.468317597246382,0.306148357983873,0.69702321641099,0.399107845669776,0.527334201046094,1.2789466454955,1.11599373835809,1.4421775114575,1.22571693702503,1.33488303805115
"22",2020-03-25,"E10000008 - Devon",15,576.346158771538,437.771488804992,744.091828894485,522.451535081439,624.007394507453,1,0.584755479692186,0.390540768046057,0.855963770042454,0.502293465964613,0.655066281999954,1.02477625642602,0.885365993340579,1.16210734683855,0.976106389418943,1.07320552149264
"23",2020-03-26,"E10000008 - Devon",15,627.965023374405,479.536386782461,813.69180343871,570.516985158768,678.592433667821,0,0.723817276322712,0.492942512897658,1.03511388718065,0.626178513875097,0.809344800408456,1.03301828276203,0.888121088066049,1.17852291601194,0.982464332386588,1.085102708388
"24",2020-03-27,"E10000008 - Devon",12,555.788969373009,430.667499109442,712.527927840937,505.85460644446,598.003373065685,1,0.887359967056373,0.61463147639982,1.24555135084598,0.770701604676056,0.985677962749983,0.877251350072665,0.74824976283453,1.00766191179754,0.83182734753739,0.9221786412402
"25",2020-03-28,"E10000008 - Devon",13,427.393821071895,331.039232681503,547.625506324158,389.304168399523,460.320543452541,1,1.07752174526441,0.754902106020739,1.49186343360843,0.939612691072673,1.19412417002165,0.662802640670792,0.552348437101904,0.785260990816826,0.622567922745853,0.699472415985123
"26",2020-03-29,"E10000008 - Devon",10,403.378743121358,308.887061852311,520.515158356791,367.484774802837,435.833261158164,1,1.29248439397016,0.916016403753782,1.77433194652301,1.13371490741432,1.42682185430515,0.627556339576252,0.519010597998576,0.752136627343294,0.586739360330783,0.664051596439545
"27",2020-03-30,"E10000008 - Devon",9,559.255556251022,431.902586046731,715.023436768393,509.19755208668,602.208882920426,1,1.53090482760156,1.09558064700434,2.06489465171518,1.35263879942078,1.6827581611518,0.890990605270478,0.761460670572081,1.02213230669222,0.845807296450636,0.935813389086604
"28",2020-03-31,"E10000008 - Devon",15,576.10143774539,443.522172514183,738.682240169616,523.850126118065,621.016772914074,1,1.79011933068353,1.2912868475855,2.39066021419437,1.58982589940565,1.96464650575409,0.951328275398566,0.81638221611676,1.08606471575126,0.904093845000451,0.998674471369218
"29",2020-04-01,"E10000008 - Devon",25,488.823247840657,374.614579232908,627.484207162826,443.640975126479,526.928157772414,1,2.0643734648175,1.50905833211231,2.73673656438548,1.84269998402951,2.25962791990436,0.832666168379559,0.707896801845821,0.960447397352847,0.788962372730162,0.874930427881047
"30",2020-04-02,"E10000008 - Devon",23,518.855348580113,395.976826734574,671.289529959813,470.321089744686,560.489837518112,0,2.34760940499729,1.73525907940922,3.08901603347658,2.10296320127652,2.56818095513051,0.904849299785387,0.775135648288563,1.03890447811656,0.858567680774942,0.950839832332785
