"","date","country","reported_cases","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"12",2020-03-16,"E06000033 - Southend-on-Sea",2,467.676496831363,296.05258960698,703.129990888862,396.644609579026,526.547132260211,0,0.0772485426218836,0.0381830403171338,0.142721466189267,0.0582839163742948,0.091235786619571,3.26069963434269,2.52460630781941,3.9849454729612,2.99497760954379,3.52339743300893
"13",2020-03-17,"E06000033 - Southend-on-Sea",2,487.33799514543,311.255323993783,712.397667645215,416.785474420602,545.17513688537,0,0.107887451094732,0.0537456344706296,0.197967042871298,0.0816947045986981,0.126957684814539,2.84826004482957,2.23353799524014,3.45083444676641,2.63339242401113,3.07595889134523
"14",2020-03-18,"E06000033 - Southend-on-Sea",0,576.927467327179,379.575629382852,827.059929192333,495.613979383821,642.695876043593,0,0.145781994069055,0.073585491565769,0.265315880743912,0.111249169755926,0.170710708136027,2.79905328545081,2.19709026805459,3.39256260397124,2.59093657734114,3.02084280212306
"15",2020-03-19,"E06000033 - Southend-on-Sea",0,614.714979998957,415.592807153994,867.259618206009,533.812900923264,684.501447227374,0,0.191825916550448,0.0985027026260388,0.345112750521227,0.147099124483785,0.223980043401121,2.48943623091435,1.95963113731927,3.00406741466057,2.30595945693625,2.67248541917953
"16",2020-03-20,"E06000033 - Southend-on-Sea",0,686.657615613586,475.969261899242,970.020963227528,598.669262494428,762.490495233484,0,0.247462718665419,0.129715180742309,0.439413040289241,0.19152352430866,0.288451558610227,2.34197733444597,1.85259719568608,2.81736503006234,2.17525287684002,2.50985252456306
"17",2020-03-21,"E06000033 - Southend-on-Sea",1,644.185785403883,458.810936177939,888.6589457072,566.415006428462,713.43829666611,0,0.314910926763429,0.169550638157328,0.548440059233516,0.245465613641079,0.364897903768947,1.8789406189895,1.50569580082636,2.23984895314389,1.75166651241158,2.00802142254372
"18",2020-03-22,"E06000033 - Southend-on-Sea",4,650.427626813663,467.035146820738,889.955993938695,573.778849035469,720.196662465279,0,0.395201073255133,0.217675241314983,0.676198258615589,0.31164420298277,0.45572464522067,1.65215484303178,1.32829925919033,1.97447265279043,1.54328719841423,1.76185893421399
"19",2020-03-23,"E06000033 - Southend-on-Sea",6,761.527277662491,550.148669294782,1032.19525499244,671.838459167713,841.986200619502,0,0.489751365613255,0.277151677060655,0.819858992259723,0.389970977755197,0.563758820861455,1.72674096975851,1.37851878676058,2.06723138114863,1.60741919617849,1.84541902995513
"20",2020-03-24,"E06000033 - Southend-on-Sea",6,505.57014988501,377.698923808623,665.15868573311,450.375101448307,554.555212773174,0,0.600837552666458,0.349846654885458,0.986431991959004,0.484110479824217,0.689701916352618,1.04526577122622,0.825055321264707,1.2657574033912,0.969161298260642,1.12233238911684
"21",2020-03-25,"E06000033 - Southend-on-Sea",2,554.098730245446,414.487223287104,725.591967986764,493.493859733265,607.382695260759,0,0.729970112033339,0.435791179291602,1.16856303176288,0.59522333894387,0.832977199904013,1.06166816358954,0.836617896310724,1.28293006537266,0.983869235995335,1.13908077730017
"22",2020-03-26,"E06000033 - Southend-on-Sea",8,518.806285962636,386.702856297159,682.307842184914,461.942205738491,569.008833577774,0,0.877435751614571,0.537667861358023,1.38100767861417,0.722412381526447,0.996451900471915,0.949903882235955,0.738655039522224,1.15626872793103,0.874971137302186,1.0238378588711
"23",2020-03-27,"E06000033 - Southend-on-Sea",7,477.873898634468,354.022035093554,632.726093609249,425.237162351911,524.276339018286,0,1.04423467315334,0.654483582502292,1.61399662879692,0.872981300521327,1.18357644315775,0.854043047446729,0.661776264477628,1.04878354320203,0.787184023742929,0.922875538082133
"24",2020-03-28,"E06000033 - Southend-on-Sea",6,286.472759093164,203.396244145859,390.507145000094,252.812339283513,316.806250619885,1,1.23018111991808,0.792466131412232,1.85910131883967,1.04247422973706,1.3849561555418,0.50909382580119,0.367410067347753,0.649829204195642,0.459413532924428,0.559365593924202
"25",2020-03-29,"E06000033 - Southend-on-Sea",11,240.142505285491,165.017010122147,334.347875622889,210.585348153128,266.744581248925,1,1.43321289926314,0.946155080785663,2.12873772817321,1.22885023638729,1.60521106841939,0.432319631931506,0.302511355690095,0.561405731551968,0.387561625807877,0.478056262686468
"26",2020-03-30,"E06000033 - Southend-on-Sea",13,396.938217210476,281.76171933809,542.915315386668,348.276297467525,440.028255757646,1,1.65090993509165,1.1104538440851,2.41217338866092,1.42801605676869,1.84112167565102,0.742412476340008,0.567457424832336,0.921007739912477,0.680248967335242,0.805820937425647
"27",2020-03-31,"E06000033 - Southend-on-Sea",15,475.9279809972,334.278567532817,650.364388242105,417.376680241406,527.951889065017,1,1.87966964752086,1.28489907163924,2.71201309150835,1.6385214744019,2.08743559617635,0.942165750600525,0.735599023275792,1.14590793705951,0.869760671528605,1.01432598078436
"28",2020-04-01,"E06000033 - Southend-on-Sea",16,374.944844873031,257.937970237065,527.284394180036,327.306415077857,419.76362779378,1,2.11573017998324,1.46691409272243,3.00259025971412,1.85913059392707,2.33671264594839,0.782252714852663,0.602737828279057,0.965763180712306,0.720057478814745,0.846474895732433
"29",2020-04-02,"E06000033 - Southend-on-Sea",14,390.82514623576,263.097671868555,553.605915307679,338.916524979665,438.883344365476,0,2.35285557850933,1.65719115656922,3.29086859133858,2.07699462784858,2.59116026590066,0.847644895774877,0.656878445842891,1.04281929722586,0.780995467691256,0.915557965443919
"30",2020-04-03,"E06000033 - Southend-on-Sea",18,363.877414037231,238.261933409896,525.400503959172,312.671174521683,410.364772837672,3,2.58613054787945,1.84671513796017,3.57240528807944,2.29546759961404,2.83806317669836,0.815167639052632,0.631954470682914,1.00155859060631,0.751503065595268,0.881439816784583
"31",2020-04-04,"E06000033 - Southend-on-Sea",15,258.775152983731,159.568808437298,384.53406034614,218.85584460888,295.849172928005,3,2.81186345093681,2.03385094680805,3.83550062891435,2.50920779384378,3.08105681735717,0.59593466457858,0.445911039386688,0.753154376096598,0.543297194893713,0.649825125756112
"32",2020-04-05,"E06000033 - Southend-on-Sea",8,282.552213078903,171.946951135623,422.721387201385,237.322410322152,323.357429122961,3,3.02575827527698,2.22027439852086,4.06950226413961,2.71037651537875,3.30915360530179,0.670734957770864,0.51102338192361,0.834652652095922,0.615784717454264,0.727801314578275
